,0
0,['Port of Seattle delays controversial new cruise terminal as it pares spending due to coronavirus']
1,['Coronavirus World News: Live Updates']
2,"['US coronavirus cases top 1 million, lawmakers urge airlines to make face masks mandatory']"
3,"['Greg Mortimer cruise doctor pressured to edit coronavirus health form, safety officer fired']"
4,['Scientists know ways to help stop viruses from spreading on airplanes. They’re too late for this pandemic.']
5,['China\'s domestic aviation recovery is good news for US airlines']
6,['Coronavirus News: Port Authority puts new rules in place at major airports due to COVID-19']
7,['Coronavirus Pushes Aviation Industry in New Directions']
8,['How Coronavirus Will Forever Change Airlines and the Way We Fly']
9,['Hong Kong airport brings in cleaning robots and disinfection booth']
10,['Cruise ship ended up being safest place for Dallas-Fort Worth woman amid coronavirus']
11,['Experts offer safe summer vacation ideas: \'Find the place that everyone isn\'t going to\'']
12,['Coronavirus: Brazil becoming hot spot; WHO warns on reinfection']
13,"['\'Tip Of The Iceberg\': Economy Shrinks At 4.8% Pace, But Worst Is Yet To Come']"
14,['Dutch teens sail home across the Atlantic due to coronavirus travel restrictions']
15,['Coronavirus: \'Emotional rollercoaster\' for Bradford woman stranded on cruise ship']
16,['United Airlines resumes limited commercial service to Costa Rica']
17,['Trump halted travel from Europe for 30 days. Officials now say it could be months']
18,"['United, Frontier require flight attendants to wear face masks. Are passengers next?']"
19,['How Coronavirus Will Change Air Travel']
20,['The GOP’s No. 1 coronavirus China hawk']
21,['What happened on board the last cruise ship still at sea']
22,['Coronavirus: Spain daily death toll lowest in over a month; airlines in \'survival mode\'']
23,['The 16 Airlines Making Refunds a Headache']
24,['Cleaning a floating petri dish: How is a cruise ship sanitized after a coronavirus outbreak?']
25,"['Scrap passengers’ right to ticket refunds, airline lobbyists tell Brussels']"
26,"['Global coronavirus restrictions loosening, allowing for some return to normalcy']"
27,"['5 things to know for April 24: Coronavirus, economy, White House, air travel, Zoom']"
28,['A pug named Winston may be the 1st US dog with coronavirus']
29,"['Coronavirus updates: Texas to lift restrictions this week, SF extends shelter in place through May']"
30,"['First the Muslim Ban, Now Coronavirus — Iranian Families Separated by One Trump Order After Another Felipe']"
31,['Why airlines cancel flights at the last minute — and why it’s good news for you']
32,"['California reports \'deadliest day\' yet, global lockdowns ease']"
33,"['Boeing to Cut 10% of Workforce as Coronavirus Puts Brakes on Air Travel', 'Boeing plans to cut airplane production, 10% of its workforce in aircraft market \'frozen\' by coronavirus crisis', 'Boeing plans to slash 10 percent of its workforce amid pandemic fallout, Max grounding', 'Boeing to cut 16,000 jobs, reduce jet production. CEO calls pandemic ‘a body blow.’']"
