,0
0,['Bill Gates predicts when we\'ll get a coronavirus vaccine']
1,['Live Updates: Global Coronavirus Pandemic']
2,"['Coronavirus live updates: Texas to lift restrictions this week, SF extends shelter in place through May']"
3,"['The market is rebounding on hope for a treatment, new index tracking coronavirus-drug makers shows']"
4,['America Needs to Win the Coronavirus Vaccine Race']
5,['Moderna\'s coronavirus vaccine candidate advances to next stage of testing']
6,['Bill Gates explains his plan to end the coronavirus pandemic']
7,['Outbreak Science: Using artificial intelligence to track the coronavirus pandemic - 60 Minutes']
8,['WHO Director-General\'s opening remarks at the media briefing on COVID-19 - 27 April 2020']
9,"['Sanofi Rises 3% on Q1 Beats, CEO Coronavirus Vaccine Comments']"
10,['He signed up for a coronavirus vaccine trial using a method that\'s never been used in humans. Here\'s why.']
11,[]
12,['American-Israeli professor is spearheading efforts to accelerate coronavirus vaccine. Thousands line up to get infected']
13,['Coronavirus live news: confirmed cases of Covid-19 pass 3m worldwide']
14,['How Pittsburgh\'s polio vaccine triumph could shape race to end coronavirus pandemic']
15,['Coronavirus in Illinois updates: Here’s what’s happening Monday']
16,"['Coronavirus Lingers in Air of Crowded Spaces, New Study Finds']"
17,"['Coronavirus testing in U.S \'is chaotic,\' Bill Gates says, but vaccine may come sooner rather than later']"
18,"['INSIDER TODAY: Yes, we should waste billions and risk lives to get a vaccine - Business Insider']"
19,['What the Coronavirus Crisis Reveals About American Medicine']
20,['Brooke Baldwin: I thought a lot about this when I was sick']
21,['\'Science will come through\': Doctor who pioneered HIV treatment discusses potential Covid-19 drugs']
22,['Outbreak Science: Using artificial intelligence to track the coronavirus pandemic']
23,['How contact tracing could fight the coronavirus']
24,['Sanofi plans to make 100 million doses of COVID-19 vaccines']
25,[]
26,"['\'Our moon shot\': The world needs a coronavirus vaccine ASAP. Despite drugmakers billion-dollar bets, one might not be available for years.']"
27,['Some scientists are using sewage to measure the prevalence of coronavirus in their communities']
28,['Johnson &amp; Johnson sets stage for COVID-19 shot rollout with \'first in a series\' manufacturing deal']
29,[]
30,"['Nearly one-third of Americans believe a coronavirus vaccine exists and is being withheld, survey finds']"
31,['Trump\'s stage is caving in. Bring on the doctors.']
32,['Coronavirus Patients Are Reporting Neurological Symptoms. Here\'s What You Need to Know']
33,['What if Covid-19 isn\'t our biggest threat?']
34,['\'They are trying to steal everything.\' US coronavirus response hit by foreign hackers']
35,['Ousted vaccine expert battles with Trump team over his abrupt dismissal']
36,"['A Coronavirus Vaccine: Faster, Please']"
37,"['In Race for a Coronavirus Vaccine, an Oxford Group Leaps Ahead', 'Coronavirus: How India will play a major role in a Covid-19 vaccine', 'Promising coronavirus vaccine could be ready by September', 'Indian drugmaker Serum to make 40m Oxford vaccines before trial over - Business Insider']"
38,"['Speeding coronavirus vaccine development with challenge trials', 'Injecting healthy adults with live coronavirus provides moral dilemma, faster path to vaccine', 'The drugs and treatments that could stop Covid-19', 'Infect us with the coronavirus. It could speed up a vaccine.']"
39,"['New York hospitals are studying a common heartburn drug as treatment for Covid-19', 'Popular heartburn medicine being studied as treatment for coronavirus', 'Science says: It\'s time to start easing the lockdowns', 'Heartburn meds tapped in coronavirus treatment']"
40,"['Vaccine Could Potentially Be Available Later This Year, Coalition Says', 'Coronavirus vaccine could be ready sooner than expected: Health group', 'COVID-19 vaccine could be out this year, says health group']"
41,"['WHO warns \'children will die\' as countries halt vaccine efforts', 'WHO chief says pandemic \'far from over\', worried about children', 'WHO Director Says the World Should Have Listened to It About Coronavirus', 'WHO warns that \'children will die\' as coronavirus pandemic postpones vaccinations against other diseases', 'Global coronavirus infections surpass 3 million, US cases top 1 million | Daily Sabah']"
42,"['Bill Gates’s Coronavirus Vaccine Could Be Ready in 12 Months', '5 things to know about Melinda Gates', 'Bill Gates details how his foundation shifted focus \'almost entirely\' to addressing COVID-19', 'Bill Gates explains how the United States can safely ease coronavirus restrictions']"
43,"['As more than a dozen states begin to reopen their economies, experts advise extra caution in these public spaces', 'Global Pandemix Part II: 10 Doom Songs To Learn About The COVID-19 Outbreak', 'Smoking Increases COVID-19 Risk... Right?']"
44,"['Tom Hanks’ Blood Is Being Used to Develop Coronavirus Vaccine', 'Tom Hanks Gave One Of His Prized Typewriters To An 8-Year-Old Boy Who Was Bullied For Being Named Corona', 'Tom Hanks jokes about the name he would give coronavirus vaccine', 'Tom Hanks Donates Blood for Coronavirus \'Hank-ccine\' Research', 'Tom Hanks Writes Adorable Letter to Australian Boy Named Corona After the Kid Was Bullied for His Name']"
45,"['UK vaccine trial volunteer says she is \'doing fine\' after online death rumours', 'Volunteer for U.K. COVID-19 vaccine trial Elisa Granato is alive, contrary to claim in viral article', 'Did Elisa Granato Die from COVID-19 Trial Vaccination?', 'Pioneering vaccine trial for Covid-19 targeted with anti-vax death claims', 'UK Vaccine Trial Volunteer Is \'Very Much Alive\' After Death Rumours Circulated']"
46,"['Sen. Cotton says Chinese students shouldn\'t be allowed to study science in US', 'Tom Cotton suggests Chinese students shouldn\'t be allowed to study sciences in the US', 'Senator Tom Cotton Suggests Denying Visas for Chinese Students to Study Science in U.S.', 'Tom Cotton has a point about Chinese students', 'Cotton suggests US shouldn\'t give visas to Chinese students to study science | TheHill']"
47,"['Donald Trump\'s big coronavirus sacrifice? Lunch.', 'White House schedules, cancels, then reschedules press briefing', 'Trump looks to Hope Hicks as coronavirus crisis spills over', 'Disinfect the White House of quackery']"
48,"['Biden Calls For ‘Apollo-Like Moonshot’ Push To Develop Covid Vaccine', 'USA TODAY/Suffolk Poll: Six months out, Biden jumps to lead over Trump amid coronavirus concerns', 'Monday\'s Campaign Round-Up, 4.27.20', 'Trump on course for reelection, even if he loses the popular vote | TheHill', 'Trump’s Contempt for the Ex-Presidents Is Costing Us Right Now']"
49,"['Tom Hanks\' blood to be used for coronavirus research', 'Tom Hanks and Rita Wilson hope their blood helps the coronavirus fight', 'Tom Hanks hopes the \'Hank-ccine\' will help those fighting COVID-19', 'Tom Hanks Is Donating Blood to Scientists Working on a Coronavirus Vaccine']"
50,"['Study of twins reveals genetic effect on Covid-19 symptoms', 'Study of twins reveals genetic impact on coronavirus symptoms', 'Coronavirus symptoms: Does your skin look like this? Warning symptom not to be ignored', 'Coronavirus tracking app suggests bug was spreading through UK in January – weeks before first confirmed c']"
51,"['Millions more children at risk with immunization services disrupted amid COVID-19 pandemic', 'A rise in deaths from preventable diseases must not be part of Covid-19\'s legacy', 'COVID-19 putting routine childhood immunization in danger: UN health agency', 'Are children largely spared from Covid-19? Think again']"
