,0
0,['Two potential therapies for covid-19 have some effect']
1,['This French doctor treated a Covid-19 patient - in December']
2,"['Unproven herbal remedy against COVID-19 could fuel drug-resistant malaria, scientists warn']"
3,"['Developing an effective coronavirus treatment could be the key to fighting the disease, experts say']"
4,['Sen. Casey proposes GI Bill-style program for health workers on front lines of pandemic']
5,['Scientists hopeful for monoclonal antibody treatment']
6,['\'Promiscuous treatment of nature\' will lead to more pandemics – scientists']
7,"['Trump contradicts nurse over PPE, Costco sees drop off as customers stay at home']"
8,['Doctor denied green card while treating Covid-19 patients']
9,['Life-saving COVID-19 treatment looks promising in early stages of Mayo Clinic study']
10,['Coronavirus live updates: New York City to offer free antibody tests as East Coast sees growing spread of cases']
11,['Early Results Show Convalescent Plasma A Promising Treatment For Some Colorado COVID-19 Patients']
12,['Greenville treatment center worried about overdoses during COVID-19 pandemic']
13,['Coronavirus: Kaiser Permanente in Anaheim discharges first COVID-19 patient after 46 days of treatment']
14,"['Two healthcare workers, with newborn, are trying to stay safe from COVID-19']"
15,"['The US just reported its deadliest day for coronavirus patients as states reopen, according to WHO']"
16,['The Baltimore Bioterrorism Expert Who Inspired South Korea’s COVID-19 Response']
17,['Covid-19: French chef Ripert feeds New York’s front-line medical workers']
18,['Banksy donates new artwork honoring health care workers to hospital']
19,['Mask or no mask? New social tension splits Seattle-area residents in coronavirus era']
20,[]
21,"['Trump, reversing course, says coronavirus task force will continue ‘indefinitely’']"
22,"['Historic financial decline hits doctors, dentists and hospitals — despite covid-19 — threatening overall economy']"
23,['Topeka COVID-19 patients join search for treatment']
