,0
0,['Seychelles Bans Cruise Ships Until 2022 : Coronavirus Live Updates']
1,['MAP: See Which Countries Are Closing Borders Due To Coronavirus : Goats and Soda']
2,['Why the United States might not open up to international travelers any time soon']
3,"['Norwegian Cruise Line will relaunch five ships at a time, estimates 5-6 months before fleet is back up']"
4,['2020 is a catastrophe for tourism businesses. Here\'s what the industry needs to get back on its feet']
5,['The coronavirus travel crisis shuttered these three US airlines. Will more go under as well?']
6,['Is flying safe with coronavirus?']
7,['This 8-hour health screening could be the new norm for international travel']
8,['Seychelles island bans cruise ships from visiting until 2022']
9,['Coronavirus Live: World News Coverage']
10,['This iconic beach destination just banned cruise ship arrivals until 2022']
11,['The future of tourism in the coronavirus era: Asia may hold answers to what\'s ahead']
12,"['Holland America announces layoffs, furloughs and pay cuts amid COVID-19 crisis']"
13,['Is Flying Safe With COVID-19 Coronavirus? When Should You Fly Again?']
14,['United Airlines violated $5B coronavirus aid agreement: Lawsuit']
15,['What will hotel visits be like? Here\'s your room-by-room look at the future']
16,['When can you go on holiday again? And what will it be like?']
17,['Salt Lake City Concert Cruise offers nine mini-concerts for bike-riding audiences']
18,"['Coronavirus Makes Airfares More Expensive, but Cruises Are Cheap']"
19,['Airlines are in \'survival mode\' but smaller carriers could be \'in trouble\': FlightGlobal']
20,['PPE vending machines installed at Las Vegas\' McCarran airport']
21,"['Business travel will be less common after coronavirus, CEOs say']"
22,"['Solo for Flute, Airport Terminal and One Listener']"
23,['Travel changed after 9/11; Here\'s how it will look after the Covid-19 pandemic finally recedes']
24,['Theme Parks and Resorts Lead the Pack of Coronavirus-Tinged Travel TV Ad Spenders']
25,['Coronavirus brought car cruise back to downtown SLO. Why did tradition end 40 years ago?']
26,"['150 homeless people camped out at Philadelphia airport will be relocated, officials say']"
27,"['Across Europe, Reopening Borders in Time for Summer']"
28,"['Airlines are on the brink of bankruptcy — what happens to your voucher, travel miles and airline credit card if they go belly up?']"
29,"['LIVE UPDATES: Pennsylvania surpasses 60,000 positive coronavirus cases, 3,300 in our area']"
30,"['Air passenger quarantine plan makes no sense, UK adviser says']"
31,"['California’s Plan to Trace Travelers for Virus Faltered When Overwhelmed, Study Finds']"
32,['Wichita announces changes at airport due to coronavirus']
33,['Why you shouldn’t expect bargain-basement cruise deals anytime soon']
34,['‘Overhedging’ Oil Prices Lands Some Coronavirus-Battered Global Airlines in Further Trouble']
35,"['Avianca, one of Latin America\'s largest airlines, files for bankruptcy']"
36,['Alaska Air cuts Paine Field schedule to 1 flight a day']
37,['Refund-related lawsuits against airlines are taking off. But will they succeed?']
38,['How the Coronavirus Pandemic Will Change the Way We Travel']
39,"['Airports testing out thermal cameras, other coronavirus tech']"
40,['Weekend reads: What happens if your favorite airline goes bust?']
41,"['Coronavirus: Stuck on cruise ships, crews beg to go home']"
42,['American Airlines Shows Off New Cleaning and Safety Procedures']
