,0
0,['Experts offer safe summer vacation ideas: \'Find the place that everyone isn\'t going to\'']
1,['Euro zone economy sinks; Spain\'s daily coronavirus deaths at lowest tally in nearly 6 weeks']
2,['Post-coronavirus flying may include masks and higher fares']
3,['US may soon screen international air travellers for coronavirus']
4,"['Tom Cruise\'s wingman in \'Top Gun,\' Anthony Edwards, recalls working with star: \'He only has one switch\'']"
5,"['Coronavirus: Cruise ship industry anxiously waiting for green light to resume sailings, but many complications linger']"
6,"['Facing a lack of passengers, Sun Country Airlines ramps up plan to fly packages for Amazon']"
7,['Boeing Cuts Its Workforce Due To The Coronavirus Crisis']
8,['Scientists know ways to help stop viruses from spreading on airplanes. They’re too late for this pandemic.']
9,[]
10,"['US coronavirus cases top 1 million, lawmakers urge airlines to make face masks mandatory']"
11,"['Pubs sessions, date nights to return as Australia\'s outback territory ends virus restrictions']"
12,['Coronavirus World News: Live Tracker']
13,"['Greg Mortimer cruise doctor pressured to edit coronavirus health form, safety officer fired']"
14,['Hong Kong airport brings in cleaning robots and disinfection booth']
15,"['Half of all Americans are canceling their summer vacations — what to expect in refunds from cruise lines, hotels and airlines']"
16,"['Spain, France, Greece: Coronavirus World News Live Updates']"
17,['How Coronavirus Will Forever Change Airlines and the Way We Fly']
18,['Norwegian Cruise Line to Furlough About 20% of Employees Through July 31']
19,['US jobless claims top 30m amid coronavirus crisis: Live updates']
20,"['Coronavirus updates: Texas to lift restrictions this week, SF extends shelter in place through May']"
21,['Cruise redeploys some of its self-driving cars to make food deliveries in San Francisco']
22,"['With business melting away during coronavirus pandemic, Miramar ice cream company starts selling PPE to keep doors open']"
23,['‘The air hasn’t been this clean in a long time.’ Stunning photo shows clear CA night sky']
24,['Philadelphia TSA workers call for masks to be required at airport']
25,['Ryanair Is Right About ‘Crack Cocaine’ Airline Bailouts']
26,"['MSC joins Carnival, Princess, Norwegian in extending cruise suspension into summer']"
27,"['To Fight Coronavirus, Poor Nations Need Their Debt Canceled']"
28,['Cruise ship ended up being safest place for Dallas-Fort Worth woman amid coronavirus']
29,['Drones could help fight coronavirus by air-dropping medical supplies']
30,['The GOP’s No. 1 coronavirus China hawk']
31,['Traveling during the pandemic: A look inside Austin-Bergstrom International Airport']
32,"['Coronavirus live updates: Tesla\'s Musk rants against lockdowns, McDonald\'s warns of more pain to come']"
33,['Social-distance flying the new normal?']
34,['Coronavirus: \'Emotional rollercoaster\' for Bradford woman stranded on cruise ship']
35,['Berlin Brandenburg Airport Announces Opening']
36,['Coronavirus detected on particles of air pollution']
37,['‘Miami Shines’ effort aims to whet wanderlust for the time when hotels reopen']
38,['Trump says he won\'t extend social distancing guidelines; NFL furloughs employees and cuts salaries']
39,"['Revealed: 100,000 crew never made it off cruise ships amid coronavirus crisis', 'No end in sight: 100,000 crew on cruise ships stranded at sea', 'Carnival, Royal Caribbean, and Norwegian Cruise Line Face a Big Hiring Challenge', 'The Thing Cruise Lines Must Do Better Moving Forward', 'Europe should not give cruising a blank cheque']"
40,"['American Airlines loses $2.2 billion in first quarter as coronavirus roiled air travel', 'American Airlines posts $2.2 billion loss on pandemic, first since bankruptcy exit', 'American Airlines Misses Q1 Views, Cuts Summer Flights; United Due Late', 'American Airlines posts first loss since its bankruptcy', 'American Airlines Posts $2.24 Billion Q1 Loss, Suspends Buybacks and Dividends Amid COVID-19 Groundings']"
41,"['Inside the Diamond Princess, the Coronavirus-Infected Cruise Ship on a Nightmare Voyage', '27 Days in Tokyo Bay: What Happened on the Diamond Princess']"
42,"['Here’s what it’s like to fly from Turkey to the U.S. during the coronavirus outbreak', 'Turkish Airlines suspends all flights until May 28', 'Turkish Airlines Extends Flight Cancelations Until Late May', 'Turkey holidays: Turkey set to resume flights in May - but when can Britons go?', 'Turkish Airlines to extend flight suspension until May 28 | Daily Sabah']"
43,"['Coronavirus pandemic in the US: Live updates', 'Broome Hospitals Get the Green Light for Elective Surgeries', 'Michael Goodwin: Coronavirus spread – blame Cuomo for NY nursing home tragedies']"
44,"['Visualization shows how droplets from one cough can infect an entire airplane', 'Visualization shows droplets from one cough on an airplane infecting large number of passengers, researchers say', 'Video: How cough particles can spread through plane cabin - Business Insider', 'This visualization shows how droplets from a single cough can infect an entire airplane', 'Flights: Terrifying animation shows how easily one cough can spread in plane cabin']"
45,"['Boeing CEO says air travel recovery could take two to three years; board wins approval', 'Boeing will cut 10 percent of workforce, says federal support “critical”', 'Boeing stock rallies as Wall Street focuses on plane maker’s cash flow', 'Boeing’s Biggest 737 MAX Customer Slashes Aircraft Delivery Schedule', 'Boeing will cut 16,000 jobs after posting a massive loss']"
46,"['Coronavirus Lingers in Air of Crowded Spaces, New Study Finds', 'Airborne coronavirus detected in Wuhan hospitals: Study, East Asia News &amp; Top Stories', 'Covid-19 transmission via aerosol could be possible, says Chinese study', 'Study: Coronavirus Lingers in Air of Crowded Places', 'Coronavirus lingers in the air of crowded spaces, study finds']"
47,"['Germany Extends Travel Warning Until June to Curb Coronavirus Spread', 'Coronavirus: Germany dashes tourism sector\'s hopes on lockdown', 'Germany\'s return to normal life in jeopardy after uptick in new coronavirus cases', 'German tourist sector dismayed as Berlin extends travel warning', 'Germany hopes there will be coordinated EU decision on foreign travel: minister']"
48,"['Boeing and Airbus Brace for Prolonged Downturn Triggered by Coronavirus', 'Airbus in talks with French state, no liquidity concerns at present, says CEO', 'Airbus burns through $8.7 billion, warns of ‘gravest’ crisis', 'Airbus CEO says aviation crisis due to coronavirus still at an ‘early stage’', 'What to watch: WPP revenue slump, Airbus €500m loss, Next coronavirus woes']"
49,"['JetBlue will require passengers to wear masks, other airlines will provide them for travelers', 'Why Airline Shares Are Soaring Today', 'JetBlue wants to suspend service at 16 major airports; Delta wants to halt service to 9 cities', 'The New Flying Etiquette']"
50,"['TSA says 500 of its employees have tested positive for COVID-19', '500 TSA employees have tested positive for COVID-19', 'Fifth TSA officer dies of the coronavirus as 500 workers have tested positive', '6 TSA screeners test positive for COVID-19 at Sea-Tac Airport', 'Two TSA agents at Phoenix Sky Harbor International Airport test positive for COVID-19']"
51,"['Nearly 150 crew members on Costa Atlantica cruise ship test positive for coronavirus', '148 Crew Members Test Positive for Coronavirus on Cruise Ship Docked in Japan', 'Uninfected crew members on cruise ship in Nagasaki to be sent home', 'Coronavirus infections in Japan surpass 13,500']"
52,"['Academics probe links between coronavirus and toxic air pollution', 'European lockdowns \'could avert 11,300 air pollution deaths\'', 'Pandemic: Less air pollution means thousands fewer die', 'Study: More People Of Color Live Near Portland\'s Biggest Air Polluters']"
