,0
0,['Coronavirus: Spain daily death toll lowest in over a month; airlines in \'survival mode\'']
1,"['5 things to know for April 24: Coronavirus, economy, White House, air travel, Zoom']"
2,"['Goggles, Masks, Ponchos: Air Travel in the Days of the Coronavirus']"
3,['Coronavirus Costa Atlantica: Japan investigates outbreak on docked liner']
4,['How Coronavirus Will Change Air Travel']
5,"['California reports \'deadliest day\' yet, global lockdowns ease']"
6,['This is what air travel could look like in a post-coronavirus world']
7,['E.U. Softens Report on China’s Coronavirus Propaganda: Live Global Coverage']
8,['Cruise Lines Are Burning Through Cash. Their Survival Depends on Luring Back Customers After Coronavirus.']
9,"['Few Travelers, Few Flights and Now, a Total Airport Shutdown']"
10,['48 Costa Atlantica cruise crew members have coronavirus; Ruby Princess departs Australia']
11,['Lawsuits are a predictable coronavirus side effect']
12,['Orlando International Airport may not see travel numbers recover post-coronavirus until 2025']
13,['New report finds Carnival allowed cruises to sail despite knowing about coronavirus threat']
14,['American Airlines faces a class action lawsuit on coronavirus canceled flight refunds']
15,['Coronavirus journey: The \'last cruise ship on Earth\' finally comes home']
16,['Coronavirus: Frozen airline food mountain to feed those in need']
17,"['Getting coronavirus from runners, cyclists, or air outside is unlikely']"
18,"['More robots, fewer buffet lines: You will cruise again, but it will look very different']"
19,['Coronavirus pandemic: Updates from around the world']
20,['Airlines and Automakers Consider How to Reopen']
21,['Travelers are booking flights again despite coronavirus lockdown']
22,['\'Bad neighbour\': will the cruise industry resume its rise in Australia after coronavirus?']
23,['Coronavirus in Oklahoma: Air travel near standstill']
24,['Air pollution drops around the world amid coronavirus lockdowns']
25,['Airline industry has 15 coronavirus-related deaths in 9 days']
26,['Bartender on coronavirus-stricken Royal Caribbean ship dies in hospital']
27,['April 23 coronavirus news']
28,['A Beloved Bar Owner Was Skeptical About the Virus. Then He Took a Cruise.']
29,['What it\'s like to run a seasonal tourism agency during the coronavirus pandemic']
30,['What will flying look like post COVID-19? Emirates Airlines provides clues']
31,['Ramadan begins amid coronavirus restrictions as Trump \'disinfectant\' theory dismissed']
32,['Vanquish the Virus? Australia and New Zealand Aim to Show the Way']
33,['Coronavirus Has Wiped Out More Than 90% of International Flights']
34,"['Air pollution in northern India has hit a 20-year low, NASA report says']"
35,['Norwegian Cruise Line Reportedly Taps Goldman Sachs to Sell Stake']
36,['Treasury begins payments to airlines for coronavirus-related relief']
37,['Traveling after Covid-19 will be forever changed']
38,['\'SNL\' to air second \'At Home\' coronavirus remote show']
39,['CORONAVIRUS IN GEORGIA: Some nonessential businesses allowed to reopen today']
40,"['Cruise lines owned by Norwegian, Carnival extend suspension of sailings into the summer', 'Another major cruise line suspends sailings through June', 'When Will Carnival, Royal Caribbean, and Norwegian Cruise Line Start Sailing Again?', 'Royal Caribbean and Norwegian Hunting for Money', 'Norwegian Cruise Line suspends trips through end of June | TheHill']"
41,"['Ryanair CEO says his planes won\'t fly with empty middle seats for ""idiotic"" social-distancing rules', 'Irish airline CEO says planes won\'t fly using \'idiotic\' social distancing guidelines | TheHill', 'Coronavirus: Ryanair won\'t fly if middle seat empty for distancing - Business Insider', 'Coronavirus: Leaving middle seat empty is idiotic, says Ryanair']"
42,"['Coronavirus detected on particles of air pollution', 'Scientists detect coronavirus on particles of air pollution']"
43,"['US airlines are losing money for the first time in years as coronavirus ends travel boom', 'Delta Air Lines Seeks $3 Billion in Bonds, Loan on Shutdown', 'Post-coronavirus, flying may become more expensive', 'Coronavirus will force airlines to make familiar asks of pilots to stay afloat', 'DAL Stock Is Set to Rebound After Re-Opening Measures Are Complete']"
44,"['Latest data on coronavirus cases, deaths, on cruise ships', 'Cruise Ships Sailed On Despite The Coronavirus. Thousands Paid The Price', 'After months of norovirus outbreaks on cruise ships, a smoothie is finally implicated', 'Stuck at Sea: Cruise ship worker shares pandemic experience']"
45,"['What economy class could look like after virus', 'Manufacturers share how airplane seats could look in the post-coronavirus world', 'Airplane Cabin Designers Unveil Potential Plane Seat Ideas for When We Can Travel Again (Video)', 'New Invention Could Change Economy Travel Forever', 'Aviointeriors proposes plastic barrier to allow safe flying']"
