,0
0,Official coronavirus death toll rises by 144 but true figure is far higher
1,1.5 metre economy to have major impact
2,Festival ban set to continue: RTL Nieuws
3,Dutch stay firm on 'no' to face masks
4,'I'm doing the best I can': young medic
5,3% may have coronavirus antibodies: RIVM
6,"30,000 have tested positive for Covid-19"
7,'Cut summer break to help pupils catch up'
8,€300m support goes to cultural big guns
9,
10,Official coronavirus death toll rises by 144 but true figure is far higher
11,Start-ups call for government aid package to start
12,"'€7.1bn income drop in food service sector', experts say"
13,"Organised event ban may continue to September, but will schools reopen?"
14,"Dutch stay firm on face masks, but they may have an exit strategy role"
15,"'I'm doing the best I can,' says young medic at centre of coronavirus epidemic"
16,Half a million people may have developed coronavirus antibodies: RIVM
17,"Nearly 30,000 have tested positive for coronavirus, health institute says"
18,"Cut summer holidays to help pupils catch up, education council says"
19,"Minister pledges extra €300m to support the arts, as lost revenue mounts"
20,Dutch government extends non-essential travel ban to May 15
21,French and German ambassadors urge Dutch to support the EU
22,Death rate in institutional care doubles since coronavirus hit NL
23,"Booking.com applies for help to pay salaries, is grateful for support"
24,One in five freelancers has less than three months in reserves
25,Cloned Dutch company at heart of Europe-wide face mask scam
26,"Dutch have no plans to recommend face masks, health minister says"
27,MPs call for committee to study plans for corona tracking app
28,"Covid-19 deaths in Netherlands pass 3000, intensive care numbers falling"
29,"North could emerge from coronavirus lockdown sooner, say experts"
