,0
0,"['Live updates: WHO warns against antibody immunity ‘passports’ as confirmed coronavirus cases surpass 900,000 in U.S.']"
1,['Doctors experiment with unproven stem cell therapy on COVID-19 patients']
2,[]
3,['Dozens of medical workers have been attacked in Mexico amid coronavirus fears']
4,"['Detroit health care worker dies after being denied coronavirus test 4 times, daughter says']"
5,['Trump faces fallout from dangerous comments about consuming disinfectants to treat coronavirus']
6,['Asia stocks decline as hopes of coronavirus treatment reportedly take a hit']
7,['Texas girl who sewed 100 masks for health care workers dies in ATV crash']
8,['The Coronavirus Shows \'Essential Workers\' Aren\'t Fairly Treated']
9,['Even Fox News Balks at Trump\'s Coronavirus Disinfectant Advice']
10,"['CNBC After Hours: Gilead\'s coronavirus treatment hits a snag, and how big companies got millions meant for small businesses']"
11,['Hospitals’ health is key driver of push to lift lockdowns']
12,['New report: Coronavirus lingers in patient\'s eyes days after it leaves nose | TheHill']
13,['Homestead respiratory therapist who worked in Coral Gables dies of coronavirus']
14,['World Coronavirus Tracker: Live Coverage']
15,['Lysol Maker Warns Against Internal Use of Disinfectants After Trump Ponders Treatment Options']
16,"['Medical staff are heroes in most countries. Here, they\'re being attacked']"
17,['Breast Milk Studied As Potential Coronavirus Treatment']
18,['The Infection That’s Silently Killing Coronavirus Patients']
19,['We went inside the GM plant making coronavirus face masks. Here\'s what it looked like']
20,['Daily briefing: What happens after you survive coronavirus']
21,"['McDonald\'s to give free \'Thank You Meals\' for first responders, health care workers starting Wednesday']"
22,['Trump\'s Disinfectant Remarks Prompt Warnings']
23,"['L.A. Reaches Legal Settlement With Company For ""False Advertising"" Of COVID-19 Test']"
24,['Brazil becoming coronavirus hot spot as testing falters']
25,['Can virtual therapy help us cope with the coronavirus lockdown?']
26,"['Answering Your Coronavirus Questions: Economy, Health Care Workers And Mental Health']"
27,['Coronavirus live updates: Antibody testing ramps up; Trump\'s medical advice draws blowback']
28,['Coronavirus: Applause for key workers \'is not enough\'']
29,['UToledo researchers look at antidepressant as potential treatment for COVID-19 symptoms']
30,['Health care workers seek to flatten COVID-19\'s \'second curve\'—their rising mental anguish']
31,"['Trial for potential coronavirus drug remdesivir running ahead of schedule', 'The pandemic has shifted focus to remdesivir, but HIV drugs will return to center stage for Gilead', 'Exclusive: Trial of Gilead\'s potential coronavirus treatment running ahead of schedule, researcher says']"
32,"['Coronavirus: Doctors dismantle Trump\'s treatment comments', 'Does sunlight rapidly destroy the coronavirus?', 'DHS study Trump touted on sunlight, heat killing virus preliminary, not peer-reviewed', 'White House issues revised transcript to show Birx said sunlight not a treatment for coronavirus', 'Sunlight Kills Coronavirus Quickly, Says Top DHS Scientist']"
33,"['Cristina Cuomo says she treated her coronavirus with Clorox baths, vitamin drips: Experts react', 'Doctors warn against vitamin drips, Clorox baths after Cristina Cuomo touts them as coronavirus treatment alternatives', 'Chris Cuomo rightly fact-checked Trump\'s bleach bloviating. Why can\'t he correct his wife?', 'Cristina Cuomo Says She Took Clorox Bleach Baths To Fight Coronavirus: ‘This Isn’t A Debate’']"
34,"['Young and middle-aged people, barely sick with covid-19, are dying from strokes', 'On next COVID-19 front line, New York nurse tends to discharged patients at home', 'Almost All Patients Hospitalized for Coronavirus Had Chronic Health Issues, Large Study Finds', 'Study: 3 comorbidities key factors in COVID-19 patient recovery', 'Coronavirus Appears to Cause Sudden Strokes in Adults Ages 30-50, According to Doctors']"
35,"['Trump’s Suggestion That Disinfectants Could Be Used to Treat Coronavirus Prompts Aggressive Pushback', 'Aides and allies making concerted effort to get Trump to stop doing daily briefings', 'Say it loud, say it clear: Donald Trump needs to resign over his handling of the coronavirus', 'Editorial: There’s no cleaning up Trump’s talk of disinfectants and other phony coronavirus cures']"
36,"['FDA issues warnings on chloroquine and hydroxychloroquine after deaths and poisonings reported', 'Hydroxychloroquine use should be avoided outside of hospitals, FDA warns', 'Citing a high risk of death, researchers cut chloroquine coronavirus study short over safety concerns', 'Trump is exhibiting all the symptoms of a hydroxychloroquine overdose', 'VA will continue to use unproven drug touted by Trump to treat Covid-19 despite FDA saying it has \'known risks\'']"
37,"['Revealed: leader of group peddling bleach as coronavirus \'cure\' wrote to Trump this week', 'Florida Church Leader Selling Bleach as Coronavirus Cure Wrote to Trump', 'Facebook ads, conspiracy theorists push harmful bleach consumption and UV ray cures', 'Man who peddles bleach as \'miracle cure\' reportedly contacted Trump ahead of his bizarre disinfectant comments', 'Trump’s COVID-19 ‘bleach gambit’ may have been the moment his supporters realized he’s dumber than they thought: columnist']"
38,"['WHO Warns You May Catch Coronavirus More Than Once', '\'No evidence\' antibodies protect recovered coronavirus patients, WHO says', 'WHO says there\'s \'no evidence\' recovered coronavirus patients won\'t get reinfected | TheHill', '\'No evidence\' that recovered COVID-19 patients cannot be reinfected: WHO', '\'No evidence\' people with coronavirus are immunised: WHO']"
39,"['Federal court blocks Texas health center from touting \'ozone therapy\' as coronavirus treatment', 'Holistic health center claimed toxic gas could kill coronavirus, Texas prosecutors say', 'Feds crack down on phony COVID-19 cures', 'Federal judge orders Dallas clinic to stop promoting ozone therapy as coronavirus treatment', 'Federal court blocks Texas health center from touting \'ozone therapy\' as coronavirus treatment']"
40,"['Northwestern testing drug to help treat a ‘storm’ inside the body caused by COVID-19', 'Northwestern Medicine leads clinical trial to see if sarilumab could be effective coronavirus treatment', 'Northwestern Memorial hospital taking part in global COVID-19 drug trial, and so far, so good']"
41,"['Leaked White House emails reveal behind-the-scenes battle over chloroquine in coronavirus response', 'New report reveals the Trump administration’s behind-the-scenes ‘pressure campaign’ to push the drug he touted as COVID-19 miracle cure', 'Leaked White House emails reveal behind the scenes battle over chloroquine in coronavirus response']"
42,"['Sunlight’s ultraviolet wavelengths have strengths, limitations in disinfecting against the coronavirus', 'Trump raises question of ultraviolet light and COVID-19. We ask doctors, scientists.', 'Researchers: New UV Technology ‘Safe for Humans,’ Potentially Lethal for Coronavirus']"
43,"['Meet \'Spot:\' The Robot That Could Help Doctors Remotely Treat COVID-19 Patients', 'The Boston Dynamics Coronavirus Doctor Robot Dog Will See You Now', 'Boston Dynamics gives hospital robot tech to the open source community', 'Robotic dog helping Brigham and Women’s medical workers safely talk to patients with COVID-19', 'Boston Dynamics Spot Robot Dog Has Joined the Fight Against COVID-19']"
44,"['Even nation\'s largest health systems laying off health care workers amid COVID pandemic', 'Michigan COVID-19 data available by hospital system', 'You can now see how many COVID-19 patients are in each hospital system', 'Another coronavirus victim: \u200bAmerica\'s largest health systems']"
45,"['Meet the ICU nurse who silently stood in protest at a rally to reopen Arizona', '\'Beyond disheartening\': Suns broadcaster Leander proud of daughter\'s stand at stay-at-home protest', 'Meet the ICU nurse who silently stood in protest at rally to reopen Arizona', 'Coronavirus US protest: Truth behind disputed nurse photo revealed']"
46,"['Eminem sends pasta to Detroit health care workers treating coronavirus | TheHill', 'Eminem donated \'Mom\'s Spaghetti\' to hospital workers fighting coronavirus in Detroit', 'Eminem sends \'Mom’s Spaghetti\' pasta to Detroit health care workers on coronavirus frontline', 'Eminem Feeds Detroit Hospital Workers With \'Mom\'s Spaghetti\'', 'Eminem donates \'Mom\'s Spaghetti\' to health workers in Detroit']"
47,"['Coronavirus: New York sees spike in disinfectant exposure cases following Trump’s dangerous treatment musings', '50 Cent Calls President Trump a Nightmare But Thinks He Likes Him After Disinfectant Comments', 'With coronavirus briefings about ‘disinfectant injection,’ Dr. Trump becomes a scary pitchman with no money-back guarantee', 'New Yorkers ingest disinfectants following Trump\'s controversial comments: Here\'s why that was a bad idea']"
48,"['Stocks close flat after wild session as investors assess Gilead coronavirus treatment', 'Stocks close higher as oil extends rebound CNBC', 'Dow Jones Industrial Average Rose as Stocks Got a Booster Shot', 'Stocks Rally, Dow Jumps Nearly 300 Points After Trump Signs $484 Billion Coronavirus Relief Bill', 'Here\'s what happened to the stock market on Friday']"
49,"['World leaders kick off initiative to fight coronavirus without US | TheHill', 'US stays away as world leaders agree action on Covid-19 vaccine', 'Nations back UN plan to speed wide rollout of...', 'Controversial idea to speed coronavirus vaccine gains ground | TheHill', 'Spain’s President &amp; other heads of state give WHO full backing to combat Covid-19 together']"
50,"['Coronavirus: 10 dead at Redwood City assisted living center, while thousands test positive at facilities across the state', 'Redwood City senior facility has at least 10 COVID-19 deaths', 'Coronavirus: UK hospital deaths pass 20,000', 'Coronavirus outbreak: 10 residents die at Redwood City nursing home as result of COVID-19', 'Deadly Coronavirus Outbreak at Redwood City Assisted Living Center']"
51,"['Workers at 180-bed South Philly nursing home ravaged by coronavirus have voted to strike', 'Coronavirus Philadelphia: State Representative Donates 100 Masks To St. Monica’s Rehabilitation Facility In South Philly', 'Coronavirus Philadelphia: Health Care Union Members Vote Overwhelmingly To Strike Against St. Monica’s Center For Rehabilitation And Healthcare']"
52,"['CDC director warns second wave of coronavirus is likely to be even more devastating', 'CDC chief contradicts Trump on misquoting charge over virus rebound', 'A Second Wave Of Coronavirus Could Hit This Year', 'Will There Be a Second Wave of Coronavirus—and How Bad Could It Be? Here\'s What Doctors Say']"
53,"['The dangerous morality behind the \'Open it Up\' movement', 'The dangerous morality behind the ‘Open it Up’ movement']"
54,"['Covid-19 is ravaging nursing homes. Government records show why', 'Coronavirus spreads in a New York nursing home forced to take recovering patients', 'Focus on helping nursing homes', 'Are nursing home residents expendable? | TheHill']"
55,"['Michigan Health Care Worker With Coronavirus Symptoms Dies After Being Turned Away From Hospital Four Times', 'Beaumont worker turned away 4 times with COVID-19 symptoms before dying']"
56,"['Nearly one-third of Americans believe a coronavirus vaccine exists and is being withheld, survey finds', 'An alarming number of Americans believe a coronavirus vaccine exists and is being withheld']"
57,['Nurses read names of colleagues who died of COVID-19 in protest outside White House']
58,"['CDC adds six more symptoms for coronavirus | TheHill', 'Six new coronavirus symptoms just officially added to CDC list. What are they?', 'COVID-19: CDC Triples Number Of Novel Coronavirus Symptoms', 'Find out which 6 new coronavirus symptoms have been added to the CDC list', 'Coronavirus CDC adds six more symptoms to COVID-19 list 41 Action News Staff 8:49']"
59,"['Cruise ships kept sailing after coronavirus was detected, exposing thousands', 'Cleaning a floating petri dish: How is a cruise ship sanitized after a coronavirus outbreak?', 'Cruise line reveals how they sanitised a cruise ship after mass coronavirus outbreak']"
60,"['FBI Raids Medical Spa for Providing False Coronavirus Treatments of High Doses of Vitamin C', 'FBI raid medical spa allegedly performing \'improper’ COVID-19 treatments', 'Medical spa investigated over coronavirus treatment claim']"
61,"['Where can I get a COVID-19 antibody test and is it reliable? Here\'s everything you need to know.', 'Coronavirus Antibody Tests: Can You Trust the Results?', 'Despite high level of NYC antibody rates, questions around immunity remain']"
